buyer_id,exporter_id,action,label,ts,industry_match,industry_similarity,cap_fit,intent_fit,pair_trust,min_intent,buyer_intent,exporter_intent,comm_score,news_risk_penalty,exporter_risk_penalty,total_risk_penalty,shock_score,match_after_risk,buyer_trust,exporter_trust,w_cap_fit,w_intent,w_comm,buyer_swipe_count_norm,buyer_right_rate,buyer_days_since_last,exporter_swipe_count_norm,exporter_right_rate,exporter_days_since_last,pair_interaction_count_norm,pair_right_rate,pair_days_since_last,retrieval_score,retrieval_rank_norm,text_similarity,teacher_score,graph_sim,industry_assoc_score,industry_assoc_hit,candidate_source
BUY_10031,EXP_8106,right,1,2024-07-02T09:11:03Z,1.0,1.0,60.0,34.69205953226863,41.953335402722665,45.68825647694309,45.68825647694309,75.93211518101207,55.0,20.97,2.82,23.79,0.699,36.73609428774448,70.81390904778375,13.092761757661576,0.35000000000000003,0.30000000000000004,0.35,0.7154089371698258,0.3076923076923077,0.04333024691358024,0.8560604972690558,0.6811594202898551,0.16517541152263376,1.0,1.0,1.0,0.017518735285623976,0.5,0.8128442561659346,0.5661016246875873,0.6242164556803508,1.0,0.0,industry_direct
BUY_10031,EXP_1890,left,0,2024-07-12T14:51:40Z,1.0,1.0,60.0,41.82174054606666,70.16567869537573,45.68825647694309,45.68825647694309,91.53717775851725,55.0,20.97,2.2,23.169999999999998,0.699,39.067217731056004,70.81390904778375,69.5174483429677,0.35000000000000003,0.30000000000000004,0.35,0.7154089371698258,0.3076923076923077,0.04333024691358024,0.9985859777644744,0.6950354609929078,0.03496585648148148,1.0,0.0,1.0,0.02682379231125387,0.5,0.6142388784304252,0.5,0.5187139255603248,1.0,0.0,industry_direct
BUY_10031,EXP_2137,right,1,2024-07-23T05:06:22Z,1.0,1.0,60.0,31.28594178900871,48.666243599157596,45.68825647694309,45.68825647694309,68.47698774584971,55.0,20.97,2.51,23.479999999999997,0.699,36.228626029362104,70.81390904778375,26.518578150531447,0.35000000000000003,0.30000000000000004,0.35,0.7154089371698258,0.3076923076923077,0.04333024691358024,0.698336571261596,0.4838709677419355,0.320369341563786,1.0,1.0,1.0,0.01661759210965691,0.5,0.8279669085110156,0.5649413747324284,0.6925561557079333,1.0,0.0,industry_direct
BUY_10031,EXP_6776,left,0,2024-10-15T11:54:42Z,0.0,0.0,60.0,38.702177110560655,63.96217808382529,45.68825647694309,45.68825647694309,84.70924498966598,55.0,20.97,9.41,30.0,0.699,11.488522506534565,70.81390904778375,57.11044711986683,0.35000000000000003,0.30000000000000004,0.35,0.7154089371698258,0.3076923076923077,0.04333024691358024,0.3920957221168144,0.3333333333333333,0.014460326646090536,1.0,0.0,1.0,0.01711890210566669,0.5,0.5687126165368656,0.5,0.49881034502822,0.0,0.0,industry_other
BUY_10031,EXP_2300,left,0,2024-12-30T05:13:44Z,1.0,1.0,60.0,28.446876784752217,63.73544728420005,45.68825647694309,45.68825647694309,62.26299486632444,55.0,20.97,1.2,22.169999999999998,0.699,36.857250428340535,70.81390904778375,56.656985520616345,0.35000000000000003,0.30000000000000004,0.35,0.7154089371698258,0.3076923076923077,0.04333024691358024,0.7922524128099521,0.68,0.002869212962962963,1.0,0.0,1.0,0.0079693077692361,0.5,0.709177734365326,0.5424569713577487,0.6193080756843307,1.0,0.0,industry_direct
BUY_10031,EXP_1400,left,0,2024-12-30T09:01:56Z,1.0,1.0,60.0,39.746042034501436,53.74052065565805,45.68825647694309,45.68825647694309,86.99400042669512,55.0,20.97,3.3,24.27,0.699,37.469050088280355,70.81390904778375,36.66713226353235,0.35000000000000003,0.30000000000000004,0.35,0.7154089371698258,0.3076923076923077,0.04333024691358024,0.8879422137044558,0.6666666666666666,0.011466306584362141,1.0,0.0,1.0,0.016511914290617546,0.5,0.7806670841793585,0.5150817529077327,0.5607774123787738,1.0,0.0,industry_direct
BUY_10031,EXP_8529,left,0,2025-01-10T13:23:31Z,0.0,0.0,60.0,39.698698960889104,68.68666559780976,45.68825647694309,45.68825647694309,86.8903784518968,55.0,20.97,9.14,30.0,0.699,11.727687750613391,70.81390904778375,66.55942214783576,0.35000000000000003,0.30000000000000004,0.35,0.7154089371698258,0.3076923076923077,0.04333024691358024,0.5168304769853754,0.16666666666666666,0.08922370113168725,1.0,0.0,1.0,0.020637265661216042,0.5,0.7140786564525412,0.5145482792995675,0.46882429974497186,0.0,0.0,industry_other
BUY_10031,EXP_1801,left,0,2025-01-11T11:00:09Z,0.0,0.0,60.0,39.63644486575464,68.97942721766219,45.68825647694309,45.68825647694309,86.75412003466899,55.0,20.97,7.71,28.68,0.699,13.03274676778112,70.81390904778375,67.14494538754064,0.35000000000000003,0.30000000000000004,0.35,0.7154089371698258,0.3076923076923077,0.04333024691358024,0.5168304769853754,0.3333333333333333,0.6087069830246913,1.0,0.0,1.0,0.020450519808566936,0.5,0.7541124795038715,0.5133992458567916,0.5513616710736048,0.0,0.0,industry_other
BUY_10031,EXP_1911,right,1,2025-02-01T18:35:15Z,1.0,1.0,60.0,28.04263607130822,67.76894896876229,45.68825647694309,45.68825647694309,61.37821452096808,55.0,20.97,1.0799999999999998,22.049999999999997,0.699,36.88023265711398,70.81390904778375,64.72398888974081,0.35000000000000003,0.30000000000000004,0.35,0.7154089371698258,0.3076923076923077,0.04333024691358024,0.8037696812514095,0.6415094339622641,0.060911586934156374,1.0,1.0,1.0,0.013652122378703835,0.5,0.6210443024114733,0.5,0.6399970469159678,1.0,0.0,industry_direct
BUY_10031,EXP_3562,left,0,2025-06-07T07:15:14Z,0.0,0.0,60.0,34.544145929616185,71.11425048085283,45.68825647694309,45.68825647694309,75.6083698379892,55.0,20.97,12.059999999999999,30.0,0.699,10.490595023107893,70.81390904778375,71.4145919139219,0.35000000000000003,0.30000000000000004,0.35,0.7154089371698258,0.3076923076923077,0.04333024691358024,0.3920957221168144,0.5,0.7547599022633744,1.0,0.0,1.0,0.012276722975938625,0.5,0.7188276457153172,0.5147970570028788,0.4884537752328989,0.0,0.0,industry_other
